title,author,current_cover_url,needs_manual_verification
"The Design of Everyday Things: Revised and Expanded Edition","Author TBD","http://books.google.com/books/content?id=qBfRDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers","Author TBD","http://books.google.com/books/content?id=suNOrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","verify_google_cover"
"Thinking in Systems","Author TBD","http://books.google.com/books/content?id=n81SEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"Commitments of Conscious Leadership: A New Paradigm for Sustainable Success","Author TBD","http://books.google.com/books/content?id=8JsKogEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","verify_google_cover"
"Thinking, Fast and Slow","Author TBD","http://books.google.com/books/content?id=pqFiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"Scaling People: Tactics for Management and Company Building","Author TBD","http://books.google.com/books/content?id=AOrAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"Influence: The Psychology of Persuasion","Author TBD","http://books.google.com/books/content?id=4uf8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"The Goal: A Process of Ongoing Improvement","Author TBD","http://books.google.com/books/content?id=B0Y9PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","verify_google_cover"
"Replacing Guilt: Minding Our Way","Author TBD","http://books.google.com/books/content?id=3g_eDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"Good Strategy Bad Strategy: The Difference and Why It Matters","Author TBD","http://books.google.com/books/content?id=8v14BB_RW_EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"The Alignment Problem: Machine Learning and Human Values","Author TBD","http://books.google.com/books/content?id=KfodEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
"High Output Management","Author TBD","http://books.google.com/books/content?id=piCeCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","verify_google_cover"
